บริการ,บริการรายการย่อย,Measure Names,หมวดสิทธิ,Measure Values
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนหน่วย,อื่นๆ,3
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนครั้ง,อื่นๆ,12
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนคน,อื่นๆ,12
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนเงินจ่าย,อปท.,48000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนหน่วย,อปท.,5
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนครั้ง,อปท.,16
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนคน,อปท.,16
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนเงินจ่าย,ประกันสังคม,11079000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนหน่วย,ประกันสังคม,16
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนครั้ง,ประกันสังคม,3715
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนคน,ประกันสังคม,3673
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนเงินจ่าย,บัตรทอง,13017000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนหน่วย,บัตรทอง,15
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนครั้ง,บัตรทอง,4379
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนคน,บัตรทอง,4301
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนเงินจ่าย,ข้าราชการ,669000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนหน่วย,ข้าราชการ,9
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนครั้ง,ข้าราชการ,223
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนคน,ข้าราชการ,222
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนเงินจ่าย,รวมทุกสิทธิ,24849000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนหน่วย,รวมทุกสิทธิ,20
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนครั้ง,รวมทุกสิทธิ,8345
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนคน,รวมทุกสิทธิ,8222
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนเงินจ่าย,อื่นๆ,102000
